1184.801,-3.851
1184.851,-2.993
1184.901,-2.344
1184.951,-1.978
1185.001,-1.870
1185.051,-1.907
1185.101,-2.014
1185.151,-2.022
1185.201,-1.906
1185.251,-1.534
1185.301,-0.912
1185.351,-0.046
1185.401,1.003
1185.451,2.171
1185.501,3.270
1185.551,4.190
1185.601,4.848
1185.651,5.163
1185.701,5.181
1185.751,4.858
1185.801,4.240
1185.851,3.404
1185.901,2.474
1185.951,1.496
1186.001,0.539
1186.051,-0.308
1186.101,-1.073
1186.151,-1.732
1186.201,-2.219
1186.251,-2.626
1186.301,-2.942
1186.351,-3.252
1186.401,-3.600
1186.451,-3.938
1186.501,-4.309
1186.551,-4.698
1186.601,-5.035
1186.651,-5.403
1186.701,-5.640
1186.751,-5.814
1186.801,-5.911
1186.851,-5.980
1186.901,-5.997
1186.951,-5.982
1187.001,-5.987
1187.051,-5.961
1187.101,-5.956
1187.151,-5.966
1187.201,-5.968
1187.251,-6.027
1187.301,-6.132
1187.351,-6.246
1187.401,-6.414
1187.451,-6.638
1187.501,-6.831
1187.551,-7.067
1187.601,-7.227
1187.651,-7.319
1187.701,-7.292
1187.751,-7.173
1187.801,-6.951
1187.851,-6.650
1187.901,-6.263
1187.951,-5.903
1188.001,-5.456
1188.051,-5.015
1188.101,-4.605
1188.151,-4.219
1188.201,-3.851
1188.251,-3.464
1188.301,-3.060
1188.351,-2.635
1188.401,-2.181
1188.451,-1.601
1188.501,-0.998
1188.551,-0.282
1188.601,0.457
1188.651,1.238
1188.701,2.012
1188.751,2.764
1188.801,3.474
1188.851,4.106
1188.901,4.614
1188.951,5.054
1189.001,5.351
1189.051,5.582
1189.101,5.699
1189.151,5.792
1189.201,5.881
1189.251,5.964
1189.301,6.088
1189.351,6.251
1189.401,6.486
1189.451,6.799
1189.501,7.150
1189.551,7.554
1189.601,7.970
1189.651,8.416
1189.701,8.812
1189.751,9.189
1189.801,9.592
1189.851,9.900
1189.901,10.161
1189.951,10.420
1190.001,10.637
1190.051,10.833
1190.101,11.003
1190.151,11.135
1190.201,11.247
1190.251,11.335
1190.301,11.391
1190.351,11.437
1190.401,11.424
1190.451,11.360
1190.501,11.309
1190.551,11.178
1190.601,11.088
1190.651,10.930
1190.701,10.836
1190.751,10.653
1190.801,10.505
1190.851,10.295
1190.901,10.047
1190.951,9.659
1191.001,9.218
1191.051,8.669
1191.101,8.061
1191.151,7.385
1191.201,6.676
1191.251,6.017
1191.301,5.394
1191.351,4.817
1191.401,4.302
1191.451,3.852
1191.501,3.415
1191.551,2.964
1191.601,2.487
1191.651,1.950
1191.701,1.349
1191.751,0.688
1191.801,-0.057
1191.851,-0.792
1191.901,-1.503
1191.951,-2.183
1192.001,-2.777
1192.051,-3.288
1192.101,-3.701
1192.151,-4.033
1192.201,-4.275
1192.251,-4.489
1192.301,-4.650
1192.351,-4.780
1192.401,-4.863
1192.451,-4.972
1192.501,-5.045
1192.551,-5.102
1192.601,-5.219
1192.651,-5.350
1192.701,-5.519
1192.751,-5.741
1192.801,-5.997
1192.851,-6.293
1192.901,-6.613
1192.951,-6.875
1193.001,-7.082
1193.051,-7.205
1193.101,-7.264
1193.151,-7.214
1193.201,-7.060
1193.251,-6.873
1193.301,-6.656
1193.351,-6.438
1193.401,-6.262
1193.451,-6.168
1193.501,-6.094
1193.551,-6.110
1193.601,-6.189
1193.651,-6.289
1193.701,-6.388
1193.751,-6.431
1193.801,-6.431
1193.851,-6.335
1193.901,-6.123
1193.951,-5.825
1194.001,-5.438
1194.051,-5.007
1194.101,-4.483
1194.151,-3.986
1194.201,-3.532
1194.251,-3.107
1194.301,-2.797
1194.351,-2.560
1194.401,-2.450
1194.451,-2.475
1194.501,-2.565
1194.551,-2.674
1194.602,-2.833
1194.652,-2.988
1194.702,-3.021
1194.752,-3.022
1194.802,-2.970
1194.852,-2.770
1194.902,-2.508
1194.952,-2.204
1195.002,-1.887
1195.052,-1.607
1195.102,-1.340
1195.152,-1.183
1195.202,-1.082
1195.252,-1.093
1195.302,-1.229
1195.352,-1.418
1195.402,-1.676
1195.452,-1.944
1195.502,-2.121
1195.552,-2.260
1195.602,-2.276
1195.652,-2.192
1195.702,-2.019
1195.752,-1.826
1195.802,-1.553
1195.852,-1.312
1195.902,-1.113
1195.952,-0.977
1196.002,-0.897
1196.052,-0.889
1196.102,-0.892
1196.152,-0.961
1196.202,-1.018
1196.252,-1.117
1196.302,-1.195
1196.352,-1.299
1196.402,-1.334
1196.452,-1.400
1196.502,-1.402
1196.552,-1.431
1196.602,-1.389
1196.652,-1.347
1196.702,-1.223
1196.752,-1.080
1196.802,-0.925
1196.852,-0.755
1196.902,-0.584
1196.952,-0.376
1197.002,-0.221
1197.052,-0.129
1197.102,-0.049
1197.152,-0.027
1197.202,-0.006
1197.252,-0.011
1197.302,0.067
1197.352,0.181
1197.402,0.316
1197.452,0.487
1197.502,0.700
1197.552,0.931
1197.602,1.198
1197.652,1.443
1197.702,1.699
1197.752,1.943
1197.802,2.148
1197.852,2.350
1197.902,2.532
1197.952,2.632
1198.002,2.723
1198.052,2.784
1198.102,2.798
1198.152,2.751
1198.202,2.707
1198.252,2.667
1198.302,2.620
1198.352,2.571
1198.402,2.562
1198.452,2.535
1198.502,2.556
1198.552,2.568
1198.602,2.562
1198.652,2.565
1198.702,2.570
1198.752,2.534
1198.802,2.510
1198.852,2.489
1198.902,2.473
1198.952,2.473
1199.002,2.454
1199.052,2.486
1199.102,2.517
1199.152,2.567
1199.202,2.682
1199.252,2.742
1199.302,2.795
1199.352,2.852
1199.402,2.898
1199.452,2.909
1199.502,2.855
1199.552,2.828
1199.602,2.731
1199.652,2.649
1199.702,2.516
1199.752,2.399
1199.802,2.283
1199.852,2.142
1199.902,2.024
1199.952,1.895
